?label	?subset	?definition	?URI
"freezing rain"	"envoPolar"	"Water-based rain which is composed of supercooled water droplets, which freeze on contact with surfaces."	"http://purl.obolibrary.org/obo/ENVO_03400010"
"semi-diurnal marine tidal flow zone"	"envoCmecs"	"A marine tidal flow zone in which ocean waters undergo a semi-diurnal (twice per day) tidal oscillation - with two high and two low tides per day of roughly equal amplitude."	"http://purl.obolibrary.org/obo/ENVO_01001340"
"desert planet"	"envoAstro"	"A terrestrial planet which has a surface dominated by hot deserts."	"http://purl.obolibrary.org/obo/ENVO_01001135"
"layer"	"envoPolar"	"A material entity which 1) is spatially continuous, 2) is composed of material of comparable thickness, composition, and physical properties, and 3) is physically distinct from adjacent portions of environmental material."	"http://purl.obolibrary.org/obo/ENVO_01000281"
"ash fall process"	"environmental_hazards"	"An ash fall process is a process in which volcanic ash formed during an explosive volcanic eruption, phreatomagmatic eruption, or during material transport in pyroclastic density currents is pulled towards the planetary surface by gravity."	"http://purl.obolibrary.org/obo/ENVO_01000702"
"second year ice"	"envoPolar"	"Sea ice which is thicker than first year ice, and has survived a seasonal melting process."	"http://purl.obolibrary.org/obo/ENVO_03000072"
"water pollution"	"envoPolar"	"A pollution process during which contaminants are released into water."	"http://purl.obolibrary.org/obo/ENVO_02500039"
"ice ablation zone"	"envoPolar"	"An environmental zone which overlaps a glacier or an ice sheet, and in which ice loss exceeds ice gain."	"http://purl.obolibrary.org/obo/ENVO_01000914"
"marine wind mixed layer"	"envoPolar"	"The upper part of the marine water column with generally uniform properties resulting from wind-driven mixing."	"http://purl.obolibrary.org/obo/ENVO_01000061"
"permafrost thawing process"	"envoPolar"	"A thawing process during which permafrost is warmed beyond the melting point of water-based ice, snow, or other forms of solid water."	"http://purl.obolibrary.org/obo/ENVO_01001613"
"marine pockmark"	"envoPolar"	"Pockmarks are craters in the seabed resulting from the release of gas or liquid. Generally, they are formed in soft, fine-grained seabed sediments by the escape of fluids (gas or water, but mainly methane) into the water column."	"http://purl.obolibrary.org/obo/ENVO_01000160"
"plastic pollution"	"environmental_hazards"	"A pollution process during which plastic contaminants are released into an environmental material."	"http://purl.obolibrary.org/obo/ENVO_02500040"
"shuga formation process"	"envoPolar"	"A new ice formation process in which shuga is formed."	"http://purl.obolibrary.org/obo/ENVO_03000079"
"sterile water environment"	"envoOmics"	"An environmental system which has its properties and dynamics determined by sterile water."	"http://purl.obolibrary.org/obo/ENVO_01001042"
"area of moss-dominated vegetation"	"nlcd2011"	"An area of a planet's surface which is primarily covered by mosses and which is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000890"
"estuarine tidal riverine coastal surface layer"	"envoMarine"	"A layer of fresh estuarine water which extends a few centimeters from the surface of the water column towards the estuary bed and from the land-water interface to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."	"http://purl.obolibrary.org/obo/ENVO_01001317"
"atmospheric subsidence"	"envoAtmo"	"A material transport process during which a mass of air moves through an atmosphere towards a planetary surface."	"http://purl.obolibrary.org/obo/ENVO_01000729"
"aerosol environment"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by an aerosol."	"http://purl.obolibrary.org/obo/ENVO_01001052"
"nunatak"	"envoPolar"	"The exposed summit of a ridge, mountain, or peak not covered with ice or snow within an ice field or glacier. The term is typically used in areas where a permanent ice mass is present."	"http://purl.obolibrary.org/obo/ENVO_00000181"
"skin environment"	"envoMeo"	"An environment determined by an area or zone of skin tissue."	"http://purl.obolibrary.org/obo/ENVO_2100003"
"estuarine tidal riverine coastal upper water column"	"envoCmecs"	"A layer of fresh estuarine water which extends from the surface of the water column to the pycnocline or mid-depth and from the land-water interface to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."	"http://purl.obolibrary.org/obo/ENVO_01001318"
"carbonate system of ocean water"	"envoMarine"	"A system which is composed of carbon-based chemical entities dissolved in or otherwise part of an ocean or sea and the atmosphere adjacent to it, undergoing constant exchange through biogeochemical cycling."	"http://purl.obolibrary.org/obo/ENVO_01001497"
"marine faunal bed"	"envoCmecs"	"A marine bed which is covered by animals which have benthic habitats, including attached, clinging, sessile, infaunal, burrowing, laying, interstitial, and slow-moving animals, but not animals that have created substrate."	"http://purl.obolibrary.org/obo/ENVO_01001376"
"ice-bearing permafrost thawing process"	"envoPolar"	"A permafrost thawing process during which water-based ice or snow present in permafrost is converted into meltwater."	"http://purl.obolibrary.org/obo/ENVO_03000086"
"stratus cloud"	"envoAtmo"	"A cloud which 1) occurs in the form of a layer with a fairly uniform base or, less frequently, ragged patches, 2) is composed of small water droplets, 3) is located in the low level of the atmosphere (low étage)."	"http://purl.obolibrary.org/obo/ENVO_01001413"
"storm surge"	"environmental_hazards"	"A storm surge is a coastal flood which is caused by low-pressure weather systems such as tropical cyclones and strong extratropical cyclones, the severity of which is affected by the shallowness and orientation of the water body relative to storm path, and the timing of tides."	"http://purl.obolibrary.org/obo/ENVO_01000714"
"intestine environment"	"envoMeo"	"An environmental system determined by an intestine."	"http://purl.obolibrary.org/obo/ENVO_2100002"
"animal-associated environment"	"envoOmics"	"An environmental system determined by an animal."	"http://purl.obolibrary.org/obo/ENVO_01001002"
"ice sheet"	"envoPolar"	"A glacier which covers an area of greater than 50,000 square kilometers."	"http://purl.obolibrary.org/obo/ENVO_00000132"
"shore lead"	"envoPolar"	"An ice lead which occurs between the shore and pack ice."	"http://purl.obolibrary.org/obo/ENVO_01001553"
"marine aphotic zone"	"envoPolar"	"The zone of an ocean below 200m, in which photosynthesis cannot occur due to the lack of light."	"http://purl.obolibrary.org/obo/ENVO_00000210"
"water-based cloud"	"envoAtmo"	"A cloud which is primarily composed of water-based aerosols."	"http://purl.obolibrary.org/obo/ENVO_01001428"
"avalanche"	"environmental_hazards"	"A mass wasting flow during which snow rapidly flows down a sloping surface."	"http://purl.obolibrary.org/obo/ENVO_01000691"
"thermokarst lake"	"envoPolar"	"A freshwater lake which fills a depression formed by the erosion of thermokarst caused by permafrost thaw."	"http://purl.obolibrary.org/obo/ENVO_03000082"
"particulate organic carbon"	"envoNceas"	"Particulate organic matter which is composed primarily of carbon."	"http://purl.obolibrary.org/obo/ENVO_04000013"
"atmospheric aerosolised particle formation event"	"envoAtmo"	"An aerosol formation event  which occurs in an atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01001359"
"rhizosphere environment"	"envoOmics"	"An environmental system determined by the presence of a plant rhizosphere."	"http://purl.obolibrary.org/obo/ENVO_01000999"
"deep chlorophyll maximum layer"	"envoPolar"	"A subsurface layer in a water body, typically an ocean or lake, in which chlorophyll concentrations reach their maximum."	"http://purl.obolibrary.org/obo/ENVO_01000326"
"estuarine open water surface layer"	"envoCmecs"	"A layer of estuarine water which extends a few centimeters from the surface of the water column towards the estuary bed and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast."	"http://purl.obolibrary.org/obo/ENVO_01001315"
"neritic mussel reef"	"envoMarine"	"A marine reef which is located on a shelf (i.e. in the neritic zone) and primarily composed of self-adhered or conglomerated mussel shells."	"http://purl.obolibrary.org/obo/ENVO_01001380"
"hydrological condensation process"	"envoAtmo"	"Hydrological condensation is a process in which atmospheric water vapour undergoes a phase transition from the gas phase to the liquid phase."	"http://purl.obolibrary.org/obo/ENVO_01000624"
"icefall"	"envoPolar"	"A portion of a glacier characterized by rapid flow, a chaotic crevassed surface, and a pronounced, at times vertical, slope."	"http://purl.obolibrary.org/obo/ENVO_00000307"
"small freshwater lake biome"	"wwfBiome"	"A freshwater lake biome which is determined by a small lake."	"http://purl.obolibrary.org/obo/ENVO_00000892"
"atmospheric column"	"envoPolar"	"A fiat part of an atmosphere which is defined as a vertical, three-dimensional pillar extending from a unit area on a planetary surface and bounded by the top of the atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01000675"
"environment determined by a metazoan secretion"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by a bodily secretion of a metazoan."	"http://purl.obolibrary.org/obo/ENVO_01001030"
"harbour"	"envoPolar"	"A landform which provides shelter from atmospheric weather and marine currents, waves, and other dynamics."	"http://purl.obolibrary.org/obo/ENVO_00000463"
"hydrosphere"	"envoAstro"	"An astronomical body part which is composed of the combined mass of water found on, under, and over the surface of a planet."	"http://purl.obolibrary.org/obo/ENVO_01000819"
"intraglacial lake"	"envoPolar"	"A lake which is comprised of meltwater located underneath or within a glacier."	"http://purl.obolibrary.org/obo/ENVO_03000053"
"nanoplastic particle"	"envoPlastics"	"A piece of plastic which has a diameter less than 1 micrometre."	"http://purl.obolibrary.org/obo/ENVO_06105105"
"marine pelagic biome"	"envoPolar"	"The marine pelagic biome (pelagic meaning open sea) is that of the marine water column, from the surface to the greatest depths."	"http://purl.obolibrary.org/obo/ENVO_01000023"
"cumulonimbus cloud"	"envoCloudAtlas"	"A cloud which 1) has been shaped into dense, mountain-like forms or one or more tower-like forms with a flattened upper portion, which often spreads out in the shape of an anvil or plume, 2) is composed of water droplets and, especially in its upper portion, ice crystals, 3) is located in the low level of the atmosphere (low étage), but can extend into the middle and high level of the atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01001419"
"ecosystem-wide photosynthesis"	"envoPolar"	"A process which consists of all photosynthesis processes instantiated in an ecosystem."	"http://purl.obolibrary.org/obo/ENVO_02500007"
"field"	"envoPolar"	"An unbroken expanse (as of ice)"	"http://purl.obolibrary.org/obo/ENVO_01000352"
