?label	?exact	?broad	?narrow	?related	?subset	?uri
"concentration of praseodymium in lake water"	"lake water praseodymium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200014"
"concentration of praseodymium in snow"	"snow praseodymium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200052"
"concentration of praseodymium in water ice"	"water ice praseodymium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200033"
"concentration of samarium in lake water"	"lake water samarium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200015"
"concentration of samarium in snow"	"snow samarium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200053"
"concentration of samarium in water ice"	"water ice samarium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200034"
"concentration of silicate(4-) in liquid water"	"liquid water silicate(4-) concentration"					"http://purl.obolibrary.org/obo/ENVO_3100027"
"concentration of silicic acid in liquid water"	"liquid water silicic acid concentration"					"http://purl.obolibrary.org/obo/ENVO_3100034"
"concentration of silver in lake water"	"lake water silver concentration"					"http://purl.obolibrary.org/obo/ENVO_3200016"
"concentration of silver in snow"	"snow silver concentration"					"http://purl.obolibrary.org/obo/ENVO_3200054"
"concentration of silver in water ice"	"water ice silver concentration"					"http://purl.obolibrary.org/obo/ENVO_3200035"
"concentration of thallium in lake water"	"lake water thallium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200017"
"concentration of thallium in snow"	"snow thallium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200055"
"concentration of thallium in water ice"	"water ice thallium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200036"
"concentration of tin in lake water"	"lake water tin concentration"					"http://purl.obolibrary.org/obo/ENVO_3200018"
"concentration of tin in snow"	"snow tin concentration"					"http://purl.obolibrary.org/obo/ENVO_3200056"
"concentration of tin in water ice"	"water ice tin concentration"					"http://purl.obolibrary.org/obo/ENVO_3200037"
"concentration of titanium in lake water"	"lake water titanium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200019"
"concentration of titanium in snow"	"snow titanium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200057"
"concentration of titanium in water ice"	"water ice titanium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200038"
