?label	?subset	?def	?cls
"atmospheric layer"@en	"envoPolar"	"A layer that is part of the atmosphere."	<http://purl.obolibrary.org/obo/ENVO_01000543>
"area of perennial water ice"@en	"envoPolar"	"An area of a planet's surface which is primarily composed of water ice, present throughout multiple years, in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000740>
"glacial valley"	"envoPolar"	"A valley that contains, or contained, a glacier and was formed by glacial activity. Typically U-shaped in cross-section."	<http://purl.obolibrary.org/obo/ENVO_00000248>
"soot"@en	"envoPolar"	"Particulate matter primarily composed of carbon particles formed through the incomplete combustion of hydrocarbons."	<http://purl.obolibrary.org/obo/ENVO_03000021>
"freshwater lake"	"envoPolar"	"A lake of whose water contains low concentrations of salts."	<http://purl.obolibrary.org/obo/ENVO_00000021>
"water ice sublimation process"@en	"envoPolar"	"A sublimation process during which water ice transitions into a gaseous state."	<http://purl.obolibrary.org/obo/ENVO_01000920>
"periglacial lake"	"envoPolar"	"A lake, part of whose margin is formed by an ice mass, ice cap or glacier, the ice having obstructed the natural drainage of the land."	<http://purl.obolibrary.org/obo/ENVO_00000200>
"xeric shrubland biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000218>
"ice cap"	"envoPolar"	"A dome-shaped ice mass that covers less than 50,000 km2 of land area (usually covering a highland area)."	<http://purl.obolibrary.org/obo/ENVO_00000145>
"mountain"	"envoPolar"	"A landform that extends above the surrounding terrain in a limited area. A mountain is generally steeper than a hill, but there is no universally accepted standard definition for the height of a mountain or a hill although a mountain usually has an identifiable summit and a local relief of more than 300m."	<http://purl.obolibrary.org/obo/ENVO_00000081>
"coastal sea water"	"envoPolar"	"Coastal sea water is sea water that is adjacent to a coast."	<http://purl.obolibrary.org/obo/ENVO_00002150>
"biogeochemical cycling"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_02500009>
"tropical grassland biome"	"wwfBiome"		<http://purl.obolibrary.org/obo/ENVO_01000192>
"ice ablation process"@en	"envoPolar"	"An ice loss process which occurs in the low-altitude area of a glacier or ice sheet below the firn layer."	<http://purl.obolibrary.org/obo/ENVO_01000919>
"microbial mat material"	"envoPolar"	"Material derived from a microbial mat, a multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats create a wide range of internal chemical environments."	<http://purl.obolibrary.org/obo/ENVO_01000157>
"aquatic layer"	"envoPolar"	"A layer in a water mass, itself composed primarily of water."	<http://purl.obolibrary.org/obo/ENVO_01000325>
"aerobic respiration, using nitrite as electron donor"	"envoPolar"	"The oxidation of nitrite (NO2) to nitrate (NO3), using oxygen (O2) as the electron acceptor. Nitrite oxidation is the final step in nitrification, the oxidation of ammonia to nitrate, and nitrite oxidoreductase (NOR) is the key enzyme complex that catalyzes the conversion of nitrite to nitrate in nitrite oxidizing species."	<http://purl.obolibrary.org/obo/GO_0019332>
"marine snow"	"envoPolar"	"Marine snow is a continuous shower of mostly organic detritus falling from the upper layers of the water column. Its origin lies in activities within the productive photic zone."	<http://purl.obolibrary.org/obo/ENVO_01000158>
"hypersaline water"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_00002012>
